#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2024-10-16
# Final Processing Time: 15:11:16
# Spline RMSE gcc_mean: 0.00566
# Spline RMSE gcc_50: 0.00586
# Spline RMSE gcc_75: 0.00579
# Spline RMSE gcc_90: 0.00588
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,falling,gcc_75,2009-10-05,2009-09-30,2009-09-22,2009-10-06,2009-10-01,2009-09-24,2009-10-03,2009-09-28,2009-09-21,0.36853,0.38514,0.41638,0.36043,0.4659
bartlettir,DB,1000,falling,gcc_75,2008-09-28,2008-09-24,2008-09-19,2008-09-29,2008-09-25,2008-09-21,2008-09-26,2008-09-23,2008-09-18,0.37721,0.39296,0.42384,0.36881,0.47075
bartlettir,DB,1000,falling,gcc_50,2016-10-07,2016-10-02,2016-09-25,2016-10-08,2016-10-03,2016-09-26,2016-10-04,2016-09-30,2016-09-24,0.38286,0.39684,0.42356,0.37446,0.47187
bartlettir,DB,1000,falling,gcc_50,2015-10-11,2015-10-06,2015-09-28,2015-10-12,2015-10-07,2015-09-30,2015-10-09,2015-10-04,2015-09-27,0.37389,0.39055,0.42208,0.36545,0.47552
bartlettir,DB,1000,falling,gcc_50,2014-10-14,2014-10-10,2014-09-21,2014-10-15,2014-10-11,2014-09-22,2014-10-13,2014-10-08,2014-09-20,0.37312,0.38854,0.42054,0.36206,0.47575
bartlettir,DB,1000,falling,gcc_50,2013-10-02,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-30,2013-09-26,2013-09-19,0.37893,0.39313,0.4215,0.36964,0.46795
bartlettir,DB,1000,falling,gcc_50,2012-09-28,2012-09-24,2012-09-17,2012-09-29,2012-09-25,2012-09-19,2012-09-26,2012-09-23,2012-09-16,0.3752,0.38947,0.41492,0.36654,0.4603
bartlettir,DB,1000,falling,gcc_50,2011-10-12,2011-10-06,2011-09-22,2011-10-13,2011-10-08,2011-09-24,2011-10-10,2011-10-04,2011-09-21,0.36556,0.38168,0.41,0.35514,0.46132
bartlettir,DB,1000,falling,gcc_50,2010-10-11,2010-10-01,2010-09-22,2010-10-12,2010-10-04,2010-09-23,2010-10-09,2010-09-29,2010-09-21,0.36942,0.38737,0.41414,0.36215,0.46468
bartlettir,DB,1000,falling,gcc_50,2009-10-05,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-03,2009-09-29,2009-09-22,0.36608,0.38308,0.41152,0.35761,0.46169
bartlettir,DB,1000,falling,gcc_50,2008-09-28,2008-09-25,2008-09-20,2008-09-30,2008-09-26,2008-09-21,2008-09-26,2008-09-23,2008-09-19,0.37524,0.38717,0.41644,0.36657,0.46207
bartlettir,DB,1000,falling,gcc_mean,2016-10-07,2016-10-02,2016-09-25,2016-10-08,2016-10-03,2016-09-26,2016-10-04,2016-09-30,2016-09-24,0.37966,0.39385,0.42124,0.37141,0.47091
bartlettir,DB,1000,falling,gcc_mean,2015-10-11,2015-10-06,2015-09-28,2015-10-12,2015-10-07,2015-09-30,2015-10-09,2015-10-04,2015-09-27,0.37151,0.38828,0.4198,0.36293,0.47362
bartlettir,DB,1000,falling,gcc_mean,2014-10-14,2014-10-10,2014-09-21,2014-10-15,2014-10-11,2014-09-22,2014-10-13,2014-10-07,2014-09-20,0.37143,0.38652,0.41923,0.36057,0.47405
bartlettir,DB,1000,falling,gcc_mean,2013-10-02,2013-09-27,2013-09-20,2013-10-03,2013-09-28,2013-09-22,2013-09-30,2013-09-25,2013-09-19,0.37699,0.39136,0.42011,0.36878,0.4678
bartlettir,DB,1000,falling,gcc_mean,2012-09-28,2012-09-24,2012-09-17,2012-09-29,2012-09-25,2012-09-19,2012-09-26,2012-09-23,2012-09-16,0.37521,0.38947,0.41492,0.36664,0.4603
bartlettir,DB,1000,falling,gcc_mean,2011-10-12,2011-10-06,2011-09-22,2011-10-13,2011-10-07,2011-09-24,2011-10-10,2011-10-04,2011-09-21,0.36556,0.38168,0.41,0.35514,0.46131
bartlettir,DB,1000,falling,gcc_mean,2010-10-11,2010-10-01,2010-09-22,2010-10-12,2010-10-04,2010-09-23,2010-10-09,2010-09-29,2010-09-21,0.36838,0.38678,0.41338,0.36122,0.46436
bartlettir,DB,1000,falling,gcc_mean,2009-10-05,2009-09-30,2009-09-23,2009-10-06,2009-10-01,2009-09-25,2009-10-03,2009-09-28,2009-09-22,0.36563,0.38189,0.41008,0.35771,0.46147
bartlettir,DB,1000,falling,gcc_mean,2008-09-28,2008-09-24,2008-09-19,2008-09-29,2008-09-25,2008-09-21,2008-09-26,2008-09-23,2008-09-18,0.37367,0.39023,0.42125,0.36534,0.46695
